,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2018-01-01,22.4,14.9,28.0,,,,,,,
1,2018-01-02,23.8,20.0,29.0,,,,,,,
2,2018-01-03,23.4,,29.8,,,,,,,
3,2018-01-04,25.4,17.6,31.2,,,,,,,
4,2018-01-05,26.3,20.6,32.2,,,,,,,
5,2018-01-06,26.8,20.4,,,,,,,,
6,2018-01-07,25.6,23.2,29.5,1.5,,,,,,
7,2018-01-08,27.9,,33.0,0.0,,,,,,
8,2018-01-09,20.7,,26.0,0.0,,,,,,
9,2018-01-10,18.3,,20.7,,,,,,,
10,2018-01-11,17.6,,23.0,,,,,,,
11,2018-01-12,17.1,,23.4,,,,,,,
12,2018-01-13,19.0,10.9,26.2,,,,,,,
13,2018-01-14,19.9,13.0,27.1,,,,,,,
14,2018-01-15,21.7,13.5,28.9,,,,,,,
15,2018-01-16,22.4,14.8,30.0,,,,,,,
16,2018-01-17,23.6,16.7,30.8,,,,,,,
17,2018-01-18,24.4,16.0,32.6,,,,,,,
18,2018-01-19,23.9,,30.6,,,,,,,
19,2018-01-20,25.4,17.2,32.2,,,,,,,
20,2018-01-21,26.1,19.6,33.0,,,,,,,
21,2018-01-22,25.8,,,,,,,,,
22,2018-01-23,24.9,18.0,32.5,,,,,,,
23,2018-01-24,25.2,17.7,,,,,,,,
24,2018-01-25,26.1,18.5,33.5,,,,,,,
25,2018-01-26,26.7,20.7,32.5,,,,,,,
26,2018-01-27,27.2,19.9,32.7,,,,,,,
27,2018-01-28,27.4,22.3,33.4,,,,,,,
28,2018-01-29,21.9,,26.6,0.5,,,,,,
29,2018-01-30,20.1,,23.0,,,,,,,
30,2018-01-31,18.1,,22.0,,,,,,,
31,2018-02-01,18.6,14.7,23.7,,,,,,,
32,2018-02-02,18.5,14.4,24.0,,,,,,,
33,2018-02-03,17.4,,23.4,,,,,,,
34,2018-02-04,18.3,13.8,24.5,,,,,,,
35,2018-02-05,17.2,,,,,,,,,
36,2018-02-06,17.3,12.2,23.9,,,,,,,
37,2018-02-07,19.3,12.0,25.5,,,,,,,
38,2018-02-08,20.2,14.7,26.7,,,,,,,
39,2018-02-09,22.7,14.0,,,,,,,,
40,2018-02-10,25.1,16.5,32.7,,,,,,,
41,2018-02-11,23.5,,30.5,,,,,,,
42,2018-02-12,21.1,,28.5,,,,,,,
43,2018-02-13,20.6,14.0,28.0,,,,,,,
44,2018-02-14,23.1,13.7,,,,,,,,
45,2018-02-15,25.4,17.3,34.7,,,,,,,
46,2018-02-16,27.4,18.6,36.0,,,,,,,
47,2018-02-17,26.9,21.0,33.6,,,,,,,
48,2018-02-18,26.8,20.6,33.0,,,,,,,
49,2018-02-19,27.7,21.3,34.8,,,,,,,
50,2018-02-20,28.3,22.4,34.7,,,,,,,
51,2018-02-21,26.8,,34.9,9.9,,,,,,
52,2018-02-22,23.5,22.0,26.4,6.4,,,,,,
53,2018-02-23,23.0,,28.5,0.3,,,,,,
54,2018-02-24,25.3,19.1,31.6,,,,,,,
55,2018-02-25,25.6,,33.0,,,,,,,
56,2018-02-26,26.2,19.3,32.2,,,,,,,
57,2018-02-27,26.4,20.5,32.2,,,,,,,
58,2018-02-28,27.9,21.0,,,,,,,,
59,2018-03-01,27.6,21.8,33.0,,,,,,,
60,2018-03-02,29.1,23.9,,9.9,,,,,,
61,2018-03-03,27.8,24.8,34.2,15.0,,,,,,
62,2018-03-04,29.3,,36.7,,,,,,,
63,2018-03-05,30.7,23.5,37.5,,,,,,,
64,2018-03-06,28.4,24.1,34.2,,,,,,,
65,2018-03-07,29.4,23.4,34.7,,,,,,,
66,2018-03-08,25.1,,,,,,,,,
67,2018-03-09,21.1,,,,,,,,,
68,2018-03-10,23.7,14.6,30.6,,,,,,,
69,2018-03-11,24.7,19.7,,,,,,,,
70,2018-03-12,26.1,20.3,,,,,,,,
71,2018-03-13,26.6,20.3,,0.0,,,,,,
72,2018-03-14,24.3,,29.8,4.1,,,,,,
73,2018-03-15,26.7,20.5,31.3,0.0,,,,,,
74,2018-03-16,27.5,,33.1,,,,,,,
75,2018-03-17,29.2,23.2,35.1,,,,,,,
76,2018-03-18,29.2,,35.7,,,,,,,
77,2018-03-19,27.3,21.9,33.5,33.8,,,,,,
78,2018-03-20,25.0,,30.1,6.6,,,,,,
79,2018-03-21,22.9,19.0,27.2,0.0,,,,,,
80,2018-03-22,23.7,18.9,30.7,,,,,,,
81,2018-03-23,24.8,19.1,30.8,,,,,,,
82,2018-03-24,26.1,20.8,31.9,,,,,,,
83,2018-03-25,27.2,20.4,33.0,,,,,,,
84,2018-03-26,26.3,,32.1,,,,,,,
85,2018-03-27,26.7,22.2,31.7,,,,,,,
86,2018-03-28,27.8,21.6,33.5,,,,,,,
87,2018-03-29,27.8,23.3,,,,,,,,
88,2018-03-30,25.3,,32.5,23.1,,,,,,
89,2018-03-31,26.7,21.1,,22.9,,,,,,
90,2018-04-01,27.0,21.2,33.2,0.0,,,,,,
91,2018-04-02,27.6,20.5,,,,,,,,
92,2018-04-03,28.1,21.7,35.2,,,,,,,
93,2018-04-04,29.2,22.3,35.7,,,,,,,
94,2018-04-05,29.8,23.5,35.4,,,,,,,
95,2018-04-06,26.2,,33.5,1.5,,,,,,
96,2018-04-07,19.4,,21.5,0.0,,,,,,
97,2018-04-08,23.5,17.2,30.1,0.0,,,,,,
98,2018-04-09,25.9,18.4,32.4,,,,,,,
99,2018-04-10,27.4,19.9,,,,,,,,
100,2018-04-11,30.4,22.2,,,,,,,,
101,2018-04-12,31.8,24.9,38.9,,,,,,,
102,2018-04-13,32.5,26.8,38.0,,,,,,,
103,2018-04-14,32.7,27.0,,,,,,,,
104,2018-04-15,26.2,23.6,,71.4,,,,,,
105,2018-04-16,28.1,23.4,,29.2,,,,,,
106,2018-04-17,24.1,,27.4,0.0,,,,,,
107,2018-04-18,27.4,19.6,,,,,,,,
108,2018-04-19,28.6,21.5,,0.0,,,,,,
109,2018-04-20,26.8,24.0,34.5,24.1,,,,,,
110,2018-04-21,29.1,23.8,34.0,0.0,,,,,,
111,2018-04-22,29.3,25.0,,0.0,,,,,,
112,2018-04-23,31.7,26.2,36.8,,,,,,,
113,2018-04-24,30.8,,,,,,,,,
114,2018-04-25,27.7,,,0.5,,,,,,
115,2018-04-26,27.7,23.4,,1.3,,,,,,
116,2018-04-27,30.0,24.7,,0.5,,,,,,
117,2018-04-28,27.3,,32.6,3.8,,,,,,
118,2018-04-29,26.0,,31.2,38.9,,,,,,
119,2018-04-30,26.8,23.8,,0.0,,,,,,
120,2018-05-01,28.8,24.6,34.3,0.0,,,,,,
121,2018-05-02,28.1,25.2,,,,,,,,
122,2018-05-03,29.3,24.6,,,,,,,,
123,2018-05-04,28.9,24.4,,,,,,,,
124,2018-05-05,27.3,,33.1,25.9,,,,,,
125,2018-05-06,27.6,24.3,,8.9,,,,,,
126,2018-05-07,30.0,24.8,,,,,,,,
127,2018-05-08,29.2,27.0,34.3,,,,,,,
128,2018-05-09,29.2,,,,,,,,,
129,2018-05-10,28.1,25.3,33.7,0.0,,,,,,
130,2018-05-11,30.0,25.1,,0.0,,,,,,
131,2018-05-12,29.6,25.7,35.5,0.0,,,,,,
132,2018-05-13,30.3,25.6,35.6,0.0,,,,,,
133,2018-05-14,27.8,,34.5,6.1,,,,,,
134,2018-05-15,27.9,24.2,34.7,6.1,,,,,,
135,2018-05-16,27.6,,,21.6,,,,,,
