[2024-05-01T18:51:39.860+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T18:51:39.885+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.895+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.896+0000] {taskinstance.py:2303} INFO - Starting attempt 3 of 8
[2024-05-01T18:51:39.914+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): fetch_and_display_data> on 2024-05-01 18:41:38.401188+00:00
[2024-05-01T18:51:39.923+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:63} INFO - Started process 1091 to run task
[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_data_pipeline', 'fetch_and_display_data', 'manual__2024-05-01T18:41:38.401188+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/demo.py', '--cfg-path', '/tmp/tmphwdz5xv8']
[2024-05-01T18:51:39.925+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask fetch_and_display_data
[2024-05-01T18:51:39.973+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [running]> on host a747c391e266
[2024-05-01T18:51:40.076+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='weather_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_display_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-01T18:41:38.401188+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-01T18:41:38.401188+00:00'
[2024-05-01T18:51:40.077+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T18:51:40.087+0000] {base.py:84} INFO - Using connection ID 'postgres_default' for task execution.
[2024-05-01T18:51:40.341+0000] {logging_mixin.py:188} INFO -             date       tavg       tmin       tmax        prcp        wdir       wspd         pres
0     2018-01-01  22.400000  14.900000  28.000000    8.540775  111.088274   5.689065  1010.424374
1     2018-01-02  23.800000  20.000000  29.000000    8.540775  111.088274   5.689065  1010.424374
2     2018-01-03  23.400000  22.000063  29.800000    8.540775  111.088274   5.689065  1010.424374
3     2018-01-04  25.400000  17.600000  31.200000    8.540775  111.088274   5.689065  1010.424374
4     2018-01-05  26.300000  20.600000  32.200000    8.540775  111.088274   5.689065  1010.424374
5     2018-01-06  26.800000  20.400000  31.859149    8.540775  111.088274   5.689065  1010.424374
6     2018-01-07  25.600000  23.200000  29.500000    1.500000  111.088274   5.689065  1010.424374
7     2018-01-08  27.900000  22.000063  33.000000    0.000000  111.088274   5.689065  1010.424374
8     2018-01-09  20.700000  22.000063  26.000000    0.000000  111.088274   5.689065  1010.424374
9     2018-01-10  18.300000  22.000063  20.700000    8.540775  111.088274   5.689065  1010.424374
10    2018-01-11  17.600000  22.000063  23.000000    8.540775  111.088274   5.689065  1010.424374
11    2018-01-12  17.100000  22.000063  23.400000    8.540775  111.088274   5.689065  1010.424374
12    2018-01-13  19.000000  10.900000  26.200000    8.540775  111.088274   5.689065  1010.424374
13    2018-01-14  19.900000  13.000000  27.100000    8.540775  111.088274   5.689065  1010.424374
14    2018-01-15  21.700000  13.500000  28.900000    8.540775  111.088274   5.689065  1010.424374
15    2018-01-16  22.400000  14.800000  30.000000    8.540775  111.088274   5.689065  1010.424374
16    2018-01-17  23.600000  16.700000  30.800000    8.540775  111.088274   5.689065  1010.424374
17    2018-01-18  24.400000  16.000000  32.600000    8.540775  111.088274   5.689065  1010.424374
18    2018-01-19  23.900000  22.000063  30.600000    8.540775  111.088274   5.689065  1010.424374
19    2018-01-20  25.400000  17.200000  32.200000    8.540775  111.088274   5.689065  1010.424374
20    2018-01-21  26.100000  19.600000  33.000000    8.540775  111.088274   5.689065  1010.424374
21    2018-01-22  25.800000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
22    2018-01-23  24.900000  18.000000  32.500000    8.540775  111.088274   5.689065  1010.424374
23    2018-01-24  25.200000  17.700000  31.859149    8.540775  111.088274   5.689065  1010.424374
24    2018-01-25  26.100000  18.500000  33.500000    8.540775  111.088274   5.689065  1010.424374
25    2018-01-26  26.700000  20.700000  32.500000    8.540775  111.088274   5.689065  1010.424374
26    2018-01-27  27.200000  19.900000  32.700000    8.540775  111.088274   5.689065  1010.424374
27    2018-01-28  27.400000  22.300000  33.400000    8.540775  111.088274   5.689065  1010.424374
